order_id,seller_id,buyer_id,kodepos,subtotal,discount,total,created_at,paid_at,delivery_at
135,51,2716,12436,5156000,0,5156000,2019-11-05,2019-11-19,
590,6,15737,24121,346000,0,346000,2019-12-15,2019-12-19,
704,52,9310,96996,869000,0,869000,2019-08-23,2019-08-26,
779,46,13284,67138,2872000,0,2872000,2020-02-17,2020-02-26,
781,16,9029,41944,6758000,0,6758000,2020-05-22,2020-05-28,
815,15,17123,57902,2654000,0,2654000,2019-11-13,2019-11-14,
816,14,4189,7987,3806000,0,3806000,2020-05-23,2020-05-29,
939,20,4501,67106,240000,0,240000,2019-12-08,2019-12-17,
1230,34,8126,19091,1197000,0,1197000,2020-01-07,2020-01-09,
1299,16,2214,2416,616000,0,616000,2019-11-28,2019-12-02,
1543,52,8474,37487,4680000,0,4680000,2019-07-03,2019-07-07,
1573,55,7027,17562,471000,0,471000,2019-11-27,2019-12-02,
1649,47,4324,44264,120000,0,120000,2019-12-14,2019-12-24,
1707,15,15075,17019,2059000,283650,1775350,2020-02-21,2020-03-06,
1741,29,1403,77482,1000000,0,1000000,2020-02-02,2020-02-15,
1840,50,924,58779,9715000,118250,9596750,2019-12-28,2020-01-09,
1884,64,15527,75917,380000,0,380000,2019-04-21,2019-05-02,
2041,48,14840,10256,72000,0,72000,2020-01-03,2020-01-06,
2126,33,13838,2500,2738000,0,2738000,2020-05-23,2020-05-30,
2130,59,7488,89202,5600000,0,5600000,2019-08-24,2019-09-05,
2276,56,10199,24097,3531000,0,3531000,2019-08-26,2019-09-01,
2307,33,320,68347,55000,0,55000,2019-12-06,2019-12-14,
2359,54,6609,93860,1530000,0,1530000,2019-06-30,2019-07-11,
2438,7,11672,60928,5564000,92400,5471600,2020-05-27,2020-05-28,
2490,52,8271,82047,4098000,0,4098000,2020-05-30,2020-06-09,
2545,33,13106,44273,11850000,21600,11828400,2020-01-06,2020-01-10,
2675,61,14983,96439,294000,58800,235200,2019-07-16,2019-07-23,
2829,30,9769,58366,600000,0,600000,2020-02-17,2020-02-19,
2865,36,3070,85684,328000,0,328000,2020-02-04,2020-02-09,
3066,37,5743,74384,7072000,0,7072000,2020-02-18,2020-03-03,
3183,64,13649,85019,3702000,0,3702000,2020-03-24,2020-04-06,
3208,29,14303,84379,210000,0,210000,2020-01-29,2020-02-08,
3209,68,16969,3371,5280000,0,5280000,2019-10-12,2019-10-15,
3246,28,4071,31514,336000,0,336000,2020-02-24,2020-03-09,
3308,15,4330,82405,2850000,0,2850000,2019-11-13,2019-11-20,
3363,31,16320,22478,852000,0,852000,2019-12-24,2020-01-03,
3368,36,14769,49688,4680000,0,4680000,2019-11-14,2019-11-28,
3524,27,8245,44659,346000,0,346000,2020-04-20,2020-04-24,
3531,49,16313,87351,42000,0,42000,2020-03-27,2020-04-05,
3586,40,7836,39451,640000,0,640000,2019-07-20,2019-07-31,
3611,53,7714,34524,194000,19200,174800,2020-02-16,2020-02-17,
3768,62,1067,59826,280000,0,280000,2020-01-14,2020-01-16,
4024,20,9760,53790,92000,0,92000,2020-03-13,2020-03-21,
4291,46,5497,95762,935000,0,935000,2020-03-31,2020-04-03,
4410,18,6836,41395,90000,0,90000,2019-09-08,2019-09-10,
4494,68,15417,88981,585000,0,585000,2019-08-07,2019-08-17,
4562,44,9851,99420,3503000,430650,3072350,2019-12-09,2019-12-15,
4581,40,15750,46117,287000,0,287000,2019-12-06,2019-12-19,
4584,16,15450,87683,260000,0,260000,2019-11-28,2019-12-11,
4712,13,10404,85672,504000,0,504000,2019-12-03,2019-12-12,
5002,25,16597,58856,1069000,0,1069000,2020-02-29,2020-03-03,
5017,45,4289,68,114000,0,114000,2019-06-05,2019-06-19,
5035,50,9229,40678,792000,0,792000,2019-05-22,2019-05-27,
5309,38,10360,30852,2871000,0,2871000,2019-08-22,2019-09-03,
5366,50,8697,88721,2617000,0,2617000,2020-03-15,2020-03-25,
5374,61,17457,57558,8828000,0,8828000,2019-11-05,2019-11-19,
5398,9,4406,19954,262000,7000,255000,2020-04-10,2020-04-11,
5483,60,17283,92546,2600000,0,2600000,2019-09-27,2019-10-02,
5533,13,16387,33136,1445000,0,1445000,2020-01-23,2020-02-04,
5620,48,8508,29799,726000,0,726000,2019-10-24,2019-11-04,
5708,19,15381,5635,1394000,0,1394000,2019-07-24,2019-08-05,
5730,63,17087,73096,3000000,0,3000000,2019-12-06,2019-12-17,
5942,38,4869,45785,2146000,0,2146000,2020-04-30,2020-05-04,
6012,23,17820,18187,260000,0,260000,2019-10-22,2019-11-03,
6223,12,7497,21248,44000,0,44000,2019-05-10,2019-05-24,
6300,19,4707,53700,450000,0,450000,2020-01-31,2020-02-06,
6448,43,11216,21445,32000,0,32000,2020-05-27,2020-06-07,
6603,10,3819,66324,243000,0,243000,2020-04-16,2020-04-27,
6870,42,13304,91155,1996000,600,1995400,2020-01-22,2020-01-28,
6913,50,10469,46367,56000,0,56000,2020-01-08,2020-01-12,
7150,8,5960,87551,2662000,0,2662000,2020-05-24,2020-05-29,
7309,3,3615,31402,77000,0,77000,2019-10-06,2019-10-07,
7508,64,15844,7858,1088000,0,1088000,2019-06-27,2019-07-11,
7600,42,2372,7289,600000,0,600000,2019-10-18,2019-10-27,
